Serial No.,Human_Sentiment_Vader,ChatGPT_Sentiment_Vader,Gemini_Sentiment_Vader,Copilot_Sentiment_Vader,Claude_Sentiment_Vader,Perplexity_Sentiment_Vader,Human_Sentiment_TextBlob,ChatGPT_Sentiment_TextBlob,Gemini_Sentiment_TextBlob,Copilot_Sentiment_TextBlob,Claude_Sentiment_TextBlob,Perplexity_Sentiment_TextBlob,Human_Sentiment_FinBERT,ChatGPT_Sentiment_FinBERT,Gemini_Sentiment_FinBERT,Copilot_Sentiment_FinBERT,Claude_Sentiment_FinBERT,Perplexity_Sentiment_FinBERT
23,0.9877,0.8934,0.9783,0.9774,0.955,0.98,0.3222935267857143,0.14750000000000002,0.4777777777777778,0.21863636363636363,0.07261904761904761,0.22314814814814815,0,0,1,1,0,1
24,0.6966,0.9603,0.9866,0.9412,0.9652,0.9299,0.08002136752136749,0.2591836734693878,0.2930194805194805,0.2011904761904762,0.03888888888888888,0.06805555555555555,0,1,1,1,1,1
25,0.6831,0.884,0.3804,0.1048,0.9564,0.98,0.18342261904761906,0.06401515151515151,0.23090318772136956,0.14285714285714285,0.14722222222222223,0.20750000000000002,0,0,0,0,2,0
26,0.9873,0.9674,0.6124,0.9253,-0.6684,0.9537,0.16517694805194805,0.09,0.07716049382716049,0.1528769841269841,0.034523809523809526,0.06559523809523808,0,2,1,0,0,0
27,0.5223,0.9081,0.9862,0.9555,0.9599,0.9349,-0.02500000000000001,0.14444444444444446,0.3,0.2714285714285714,-0.008749999999999999,-0.017857142857142856,0,1,1,1,0,1
28,0.9873,0.9922,0.9663,0.7269,0.9467,0.984,0.11753100700469121,0.19670138888888888,0.4428571428571428,0.24,0.1842261904761905,0.18424723424723424,0,1,1,0,1,1
29,0.9306,-0.7833,0.8122,-0.6908,0.5106,0.891,0.22685606060606062,0.0025793650793650823,0.17045454545454544,0.19333333333333336,0.21111111111111114,0.2666666666666667,0,1,1,1,1,1
30,0.74,0.7717,0.7096,0.9559,0.4215,0.6369,0.06243386243386243,0.10000000000000002,0.05714285714285715,0.03333333333333334,0.006666666666666666,0.0,0,0,0,0,0,1
31,0.9888,0.5267,0.8625,0.9153,0.8689,-0.3182,0.2511904761904762,0.15714285714285717,0.1375,0.241875,-0.019999999999999997,0.05357142857142857,0,0,2,0,1,0
32,-0.5927,0.9081,-0.1372,0.9001,0.9402,0.9578,-0.036011904761904766,0.05,0.05357142857142857,0.028571428571428574,0.17222222222222225,0.125,0,0,0,0,1,0
33,0.8768,-0.1371,0.5984,0.2023,0.3182,0.0,-0.3999999999999999,0.14444444444444446,0.3833333333333333,0.0,0.06666666666666667,0.125,0,0,0,0,0,0
34,0.6749,0.9756,0.7783,0.0516,0.4703,0.6486,0.1369047619047619,0.15670995670995674,0.13571428571428573,0.13174603174603175,0.126984126984127,0.1302721088435374,0,1,1,1,1,0
35,0.0,0.4854,0.5106,0.6059,0.8271,0.6124,0.03333333333333333,0.03571428571428571,0.10555555555555557,0.06394557823129252,0.006666666666666665,0.20416666666666666,0,0,0,1,1,0
36,0.7316,0.296,0.5267,0.34,0.0772,0.4939,0.32653061224489793,0.10412087912087913,0.025925925925925925,0.03666666666666667,0.058333333333333334,0.15925925925925927,1,0,0,0,0,0
37,0.8922,0.8166,0.8977,0.9022,0.7845,0.9382,0.26710084033613446,0.125,0.10357142857142856,-0.020833333333333332,0.06923076923076922,0.05714285714285715,0,1,1,0,0,1
38,0.9463,0.9693,0.987,0.8481,0.9441,0.959,0.15714285714285714,0.21860795454545454,0.11792929292929293,0.17613636363636362,0.1392857142857143,0.08737373737373738,1,1,1,0,1,1
39,-0.0772,0.9555,0.8682,0.4933,0.9439,0.8442,0.10389610389610389,0.17592592592592593,0.21015873015873016,0.17051282051282052,0.3108333333333333,0.2630952380952381,0,1,1,2,1,2
40,0.9083,0.9716,0.9716,0.9578,0.8151,0.9705,0.2733457019171305,0.0475,0.0,-0.04023809523809524,-0.016666666666666663,0.08717948717948719,0,1,1,1,2,0
41,0.9554,0.894,-0.1695,0.9422,0.6652,0.8176,0.09175167827341739,0.028787878787878793,0.10606060606060606,0.17853535353535352,-0.08333333333333333,0.04404761904761905,0,0,1,1,0,2
42,0.9654,0.8689,0.7783,0.0516,0.7227,0.6369,0.257579365079365,0.17333333333333334,0.08327823691460055,0.002272727272727271,0.14444444444444443,0.03571428571428571,0,1,1,0,1,0
43,0.952,0.8074,0.9382,0.9339,0.8828,0.9231,0.2155194805194805,0.12,0.025000000000000005,0.24318181818181817,0.2111111111111111,0.12857142857142856,0,1,1,1,1,1
